AuthorID,Author,Date,Content,Attachments,Reactions
"846666693883199539",".szymk.","2026-01-18T19:35:40.7750000+00:00","Or we can do Osama bin laden mobe","",""
"978288890928590899","mafi43211","2026-01-18T19:36:00.8180000+00:00","if it fails we go with my plan and have a sudden suprise attack from the east","assets/image-833B1.png",""
"1154255244981698652","kzi_2","2026-01-18T19:36:22.2740000+00:00","You can technically Bombard wherever rainbow irp is","",""
"846666693883199539",".szymk.","2026-01-18T19:36:41.2470000+00:00","","",""
"1195410543280930827","diaxmc","2026-01-18T19:36:44.5590000+00:00","","",""
"846666693883199539",".szymk.","2026-01-18T19:36:45.2430000+00:00","Idk where he js","",""
"1154255244981698652","kzi_2","2026-01-18T19:36:53.8260000+00:00","If he dies, we have a chance to ""work"" with him","",""
"978288890928590899","mafi43211","2026-01-18T19:36:56.5340000+00:00","@Fishermann  this is our plan, we need somebody to kill rainbow","","💀 (1)"
"1195410543280930827","diaxmc","2026-01-18T19:36:57.3470000+00:00","From what faction is he","",""
"1154255244981698652","kzi_2","2026-01-18T19:36:58.8860000+00:00","And basically win","",""
"1154255244981698652","kzi_2","2026-01-18T19:37:03.4140000+00:00","Yo","",""
"978288890928590899","mafi43211","2026-01-18T19:37:06.5730000+00:00","lem is not ichenya puppet","",""
"978288890928590899","mafi43211","2026-01-18T19:37:12.8910000+00:00","only rainbow","",""
"978288890928590899","mafi43211","2026-01-18T19:37:19.3560000+00:00","we need to get rid of him","",""
"1154255244981698652","kzi_2","2026-01-18T19:37:42.8350000+00:00","Rainbow is riding Ichenyan meat so hard~ 
-# @Mafi43211 , I already accepted that I'm getting banned","",""
"1154255244981698652","kzi_2","2026-01-18T19:38:01.3760000+00:00","Much harder than how I ride yours","",""
"978288890928590899","mafi43211","2026-01-18T19:38:11.4760000+00:00","🤨","",""
"1195410543280930827","diaxmc","2026-01-18T19:38:32.4350000+00:00",".","",""
"1154255244981698652","kzi_2","2026-01-18T19:38:33.2090000+00:00","","assets/Screenshot_20260109-002040-FC01A.jpg",""
"1154255244981698652","kzi_2","2026-01-18T19:38:48.9780000+00:00","Someone pull this move fr","",""
"846666693883199539",".szymk.","2026-01-18T19:38:55.6070000+00:00",":emoji_1:","",""
"1154255244981698652","kzi_2","2026-01-18T19:39:01.5930000+00:00","# Kathai","",""
"978288890928590899","mafi43211","2026-01-18T19:39:13.5780000+00:00","Kathai on our side","",""
"1154255244981698652","kzi_2","2026-01-18T19:39:15.9580000+00:00","The ones whose meat I ride","",""
"1154255244981698652","kzi_2","2026-01-18T19:39:20.2730000+00:00","A lot","",""
"1154255244981698652","kzi_2","2026-01-18T19:39:25.1570000+00:00","And hard","",""
"978288890928590899","mafi43211","2026-01-18T19:39:31.9640000+00:00","https://tenor.com/view/michaeljordan-mj-basketball-gif-michael-jordan-no-no-no-no-gif-16220345851539903827","",""
"846666693883199539",".szymk.","2026-01-18T19:40:00.8790000+00:00",":cupcake:","",""
"1154255244981698652","kzi_2","2026-01-18T19:40:30.4310000+00:00","""Yes. I ride meat""","assets/Screenshot_20251219-165813-D798D.jpg",""
"978288890928590899","mafi43211","2026-01-18T19:40:30.7420000+00:00","In short, we need a assasin to slime rainbow","",""
"1154255244981698652","kzi_2","2026-01-18T19:40:40.9790000+00:00","""Kathai meat""","",""
"978288890928590899","mafi43211","2026-01-18T19:40:53.1190000+00:00","OK WE GET IT","",""
"1154255244981698652","kzi_2","2026-01-18T19:41:03.6850000+00:00","I ride it a lot~","",""
"978288890928590899","mafi43211","2026-01-18T19:41:08.9700000+00:00","SYBAU","",""
"1154255244981698652","kzi_2","2026-01-18T19:41:10.0110000+00:00","Day and nigh-","",""
"1154255244981698652","kzi_2","2026-01-18T19:41:13.8810000+00:00","Alright","",""
"1154255244981698652","kzi_2","2026-01-18T19:41:18.7310000+00:00","I had my fun","",""
"1154255244981698652","kzi_2","2026-01-18T19:41:20.4500000+00:00","Anyways","",""
"1195410543280930827","diaxmc","2026-01-18T19:41:22.1080000+00:00","Ah","",""
"1154255244981698652","kzi_2","2026-01-18T19:41:23.9650000+00:00","Back to topic","",""
"1195410543280930827","diaxmc","2026-01-18T19:41:24.9320000+00:00","Right","",""
"846666693883199539",".szymk.","2026-01-18T19:41:26.0170000+00:00","","assets/Screenshot_2026-01-18-20-41-04-422_com.dis-907A7.jpg",""
"978288890928590899","mafi43211","2026-01-18T19:41:33.9410000+00:00","dont' dm rainbow","",""
"978288890928590899","mafi43211","2026-01-18T19:41:35.5210000+00:00","dm proat","",""
"978288890928590899","mafi43211","2026-01-18T19:41:48.0050000+00:00","SO","",""
"1195410543280930827","diaxmc","2026-01-18T19:41:53.5130000+00:00","You drunk again or something","",""
"978288890928590899","mafi43211","2026-01-18T19:41:54.0920000+00:00","@KZI   who your assasin","",""
"1154255244981698652","kzi_2","2026-01-18T19:42:06.3960000+00:00","ShoftSoap","",""
"846666693883199539",".szymk.","2026-01-18T19:42:14.8740000+00:00","","",""
"846666693883199539",".szymk.","2026-01-18T19:42:15.9850000+00:00","Problem","",""
"1154255244981698652","kzi_2","2026-01-18T19:42:16.8860000+00:00","He said he'll do it soon","",""
"846666693883199539",".szymk.","2026-01-18T19:42:35.8290000+00:00","Even though it is deliberate lie, we have problem with that","",""
"1154255244981698652","kzi_2","2026-01-18T19:42:43.5010000+00:00","This son of a bitch.","",""
"846666693883199539",".szymk.","2026-01-18T19:42:55.8040000+00:00","I gonna do something to destroy his position even more","",""
"1154255244981698652","kzi_2","2026-01-18T19:43:03.7480000+00:00","Ykw, I will take blame for those","",""
"1154255244981698652","kzi_2","2026-01-18T19:43:21.9280000+00:00","As my illegal Naval Forces","",""
"1154255244981698652","kzi_2","2026-01-18T19:43:30.8480000+00:00","Or smth","",""
"846666693883199539",".szymk.","2026-01-18T19:47:59.2720000+00:00","","",""
"846666693883199539",".szymk.","2026-01-18T19:48:00.7140000+00:00","Pretty peaceful speech calling for investigation","",""
"846666693883199539",".szymk.","2026-01-18T19:48:07.6310000+00:00",":cupcake:","",""
"1195410543280930827","diaxmc","2026-01-18T19:49:29.6110000+00:00","Bro why tf you made ts emoji🥀","",""
"846666693883199539",".szymk.","2026-01-18T19:49:39.2890000+00:00","Why not","",""
"1154255244981698652","kzi_2","2026-01-18T19:50:02.0980000+00:00","I'ma make a post rq demanding a 3rd party investigation","",""
"846666693883199539",".szymk.","2026-01-18T19:51:27.1510000+00:00","","",""
"1195410543280930827","diaxmc","2026-01-18T19:51:44.6900000+00:00","Bro","",""
"978288890928590899","mafi43211","2026-01-18T19:52:32.7640000+00:00","@KZI  find a assasin then","",""
"1154255244981698652","kzi_2","2026-01-18T19:52:51.1530000+00:00","Done","",""
"978288890928590899","mafi43211","2026-01-18T19:53:12.2120000+00:00","lem never a puppet to anybody","",""
"978288890928590899","mafi43211","2026-01-18T19:53:21.5570000+00:00","she will prob stop working with ichenya if rainbow dead","",""
"1154255244981698652","kzi_2","2026-01-18T19:56:49.1770000+00:00","Ngl, they used to be an ally to me","",""
"1154255244981698652","kzi_2","2026-01-18T19:57:01.7140000+00:00","# **But rainbow**","",""
"978288890928590899","mafi43211","2026-01-18T20:06:44.8820000+00:00","who is it?","",""
"1154255244981698652","kzi_2","2026-01-18T20:06:54.7700000+00:00","ShoftSoap","",""
"978288890928590899","mafi43211","2026-01-18T20:06:59.4870000+00:00","good","",""
"1154255244981698652","kzi_2","2026-01-18T20:07:01.5590000+00:00","Ykw","",""
"978288890928590899","mafi43211","2026-01-18T20:07:03.8400000+00:00","if rainbow dies","",""
"1154255244981698652","kzi_2","2026-01-18T20:07:06.2740000+00:00","I can talk to lem about it","",""
"978288890928590899","mafi43211","2026-01-18T20:07:07.3010000+00:00","it our victory","",""
"978288890928590899","mafi43211","2026-01-18T20:07:15.4790000+00:00","and how about this, we don't even haave to war eachother","",""
"978288890928590899","mafi43211","2026-01-18T20:07:24.0420000+00:00","we could end hte russsenian cifvil war lik that","",""
"978288890928590899","mafi43211","2026-01-18T20:07:36.2570000+00:00","form a council and autonomus regions","",""
"978288890928590899","mafi43211","2026-01-18T20:07:54.2460000+00:00","United Russenian federation","",""
"1195410543280930827","diaxmc","2026-01-18T20:08:11.3210000+00:00","Rainbow what faction","",""
"978288890928590899","mafi43211","2026-01-18T20:08:16.7560000+00:00","With Belorussenia, Chernavia, SIbir geting a special autonomus status","",""
"978288890928590899","mafi43211","2026-01-18T20:08:19.9580000+00:00","RRR","",""
"1195410543280930827","diaxmc","2026-01-18T20:08:22.0550000+00:00","Belorusenia?","",""
"1195410543280930827","diaxmc","2026-01-18T20:08:24.8140000+00:00","Ah","",""
"1195410543280930827","diaxmc","2026-01-18T20:08:28.0090000+00:00","Ok","",""
"1195410543280930827","diaxmc","2026-01-18T20:08:47.1570000+00:00","Nah Sybir and Chernavia","",""
"846666693883199539",".szymk.","2026-01-18T20:10:09.2030000+00:00","Hm
I have idea
We may go some things
I control all affairs of Chernavi and territory some rusenian
Rest factions get their territory 
Sibir, khurevia and belorus get autonomy 
Tsitograd is controlled by sun cult:cupcake: 
Pretty non serious proposal not gonna lie","",""
"1195410543280930827","diaxmc","2026-01-18T20:11:59.9490000+00:00","Nah Belorusenia and Khurevia get no autonomy","",""
"1154255244981698652","kzi_2","2026-01-18T20:12:08.9740000+00:00","Everybody","",""
"978288890928590899","mafi43211","2026-01-18T20:12:17.1220000+00:00","belorussenai should","",""
"978288890928590899","mafi43211","2026-01-18T20:12:23.3360000+00:00","we need them on our side","",""
"1154255244981698652","kzi_2","2026-01-18T20:12:39.7780000+00:00","Even the Military Junta of @Elliott","",""
"978288890928590899","mafi43211","2026-01-18T20:12:48.5340000+00:00","Ok we are listening","",""
"846666693883199539",".szymk.","2026-01-18T20:13:07.2720000+00:00","Well Tablov doesn't really have any minority 
They just regionalists","",""
"1154255244981698652","kzi_2","2026-01-18T20:13:13.8860000+00:00","Ik","",""
"978288890928590899","mafi43211","2026-01-18T20:13:28.7890000+00:00","SO, rainbow dies, we get lem to peace out","",""
"978288890928590899","mafi43211","2026-01-18T20:13:38.2050000+00:00","then we form a United russenian federation","",""
"1154255244981698652","kzi_2","2026-01-18T20:13:47.7270000+00:00","But they can have their own autonomous Administrationary province to do.. whatever they want ig","",""
"846666693883199539",".szymk.","2026-01-18T20:14:08.1030000+00:00","What about United Rusenian Federative State","",""
"1154255244981698652","kzi_2","2026-01-18T20:14:10.5430000+00:00","Like how I had putai Autonomous Province","",""
"1195410543280930827","diaxmc","2026-01-18T20:14:26.1890000+00:00","Why","",""
"846666693883199539",".szymk.","2026-01-18T20:14:31.7970000+00:00",":emoji_1:","",""
"978288890928590899","mafi43211","2026-01-18T20:14:37.3300000+00:00","we need evrebody","",""
"978288890928590899","mafi43211","2026-01-18T20:14:45.8130000+00:00","since for all we know ichenya could send all they got","",""
"1154255244981698652","kzi_2","2026-01-18T20:14:57.5800000+00:00","We are facing someone stronger than all of us combined","","✅ (1)"
"978288890928590899","mafi43211","2026-01-18T20:15:15.3880000+00:00","so in a way, we are the white army","",""
"978288890928590899","mafi43211","2026-01-18T20:15:19.2000000+00:00","but better organised","",""
"846666693883199539",".szymk.","2026-01-18T20:16:01.7680000+00:00","If better organised I don't know
But anyways biggest priority Is survival of the state
Then independence of the state
And then relevance of the state","",""
"978288890928590899","mafi43211","2026-01-18T20:16:44.6450000+00:00","Our goal is to destroy RRR","",""
"1154255244981698652","kzi_2","2026-01-18T20:16:50.3730000+00:00","Yup","",""
"978288890928590899","mafi43211","2026-01-18T20:16:58.1660000+00:00","we push from here","assets/image-942C6.png",""
"978288890928590899","mafi43211","2026-01-18T20:17:02.0940000+00:00","suprise attack","",""
"1195410543280930827","diaxmc","2026-01-18T20:17:03.5480000+00:00","Yeah yeah","",""
"978288890928590899","mafi43211","2026-01-18T20:17:13.7940000+00:00","take the cities at all cost","",""
"978288890928590899","mafi43211","2026-01-18T20:17:18.8130000+00:00","if they lose the cities, they fall","",""
"846666693883199539",".szymk.","2026-01-18T20:17:34.8650000+00:00","Well we can get encircled","",""
"978288890928590899","mafi43211","2026-01-18T20:17:43.4170000+00:00","look at where their forces are","",""
"978288890928590899","mafi43211","2026-01-18T20:17:51.1330000+00:00","they will be busy fighting kzi","",""
"1195410543280930827","diaxmc","2026-01-18T20:17:59.2160000+00:00","✅ ✅ ✅ ✅","",""
"978288890928590899","mafi43211","2026-01-18T20:19:51.1480000+00:00","@Oranje  redirect your troops in chernavia towards mainalnd RRR","",""
"846666693883199539",".szymk.","2026-01-18T20:20:04.4340000+00:00","Bruh it is literally too late
I already rolled","",""
"978288890928590899","mafi43211","2026-01-18T20:20:20.9760000+00:00","just saying for next turn","",""
"978288890928590899","mafi43211","2026-01-18T20:20:29.3860000+00:00","next turn focus on moving into mainland RRR","",""
"846666693883199539",".szymk.","2026-01-18T20:20:56.8280000+00:00","O think I also gonna send one reserve division into border with ichenya","",""
"1195410543280930827","diaxmc","2026-01-18T20:21:20.7460000+00:00","Also why can’t we get mode divs after war had started?","",""
"846666693883199539",".szymk.","2026-01-18T20:21:31.7700000+00:00","Idk","",""
"978288890928590899","mafi43211","2026-01-18T20:25:02.3070000+00:00","white are all the members so far?","assets/image-84362.png",""
"978288890928590899","mafi43211","2026-01-18T20:25:21.0620000+00:00","@here  do we invite belorussenia","",""
"1154255244981698652","kzi_2","2026-01-18T20:25:21.1490000+00:00","Red guy as well","",""
"1154255244981698652","kzi_2","2026-01-18T20:25:28.2970000+00:00","Yes","",""
